host_ID,otu_ID,genus,base_taxon,has_genus,final_id,relative_reads,link,type,final_taxon_otu_ID,host_species,village,grid,season
2006,nc_116,Heligmosomoidea,Heligmosomoidea,TRUE,Heligmosomoidea_1,0.383180096,1,NC,nc_116_Heligmosomoidea_1,Microgale brevicaudata,Mandena,brushy_regrowth,1
2006,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.190102759,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,brushy_regrowth,1
2006,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.371011357,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,brushy_regrowth,1
2006,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.014061655,1,NC,nc_99_Nippostrongylus,Microgale brevicaudata,Mandena,brushy_regrowth,1
2008,nc_102,Globocephalus,Globocephalus,TRUE,Globocephalus,0.888258886,1,NC,nc_102_Globocephalus,Setifer setosus,Mandena,brushy_regrowth,1
2008,nc_116,Heligmosomoidea,Heligmosomoidea,TRUE,Heligmosomoidea_1,0.071912599,1,NC,nc_116_Heligmosomoidea_1,Setifer setosus,Mandena,brushy_regrowth,1
2008,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.010925183,1,NC,nc_99_Nippostrongylus,Setifer setosus,Mandena,brushy_regrowth,1
2009,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.024399843,1,NC,nc_129_Trichostrongylidae_1,Setifer setosus,Mandena,brushy_regrowth,1
2009,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.015741834,1,NC,nc_131_Trichostrongylidae_2,Setifer setosus,Mandena,brushy_regrowth,1
2009,nc_93,NA,Chromadorea,FALSE,Chromadorea_2,0.8823297920000001,1,NC,nc_93_Chromadorea_2,Setifer setosus,Mandena,brushy_regrowth,1
2009,nc_95,NA,Heligmonellidae,FALSE,Heligmonellidae,0.010625738,1,NC,nc_95_Heligmonellidae,Setifer setosus,Mandena,brushy_regrowth,1
2009,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.029515939,1,NC,nc_99_Nippostrongylus,Setifer setosus,Mandena,brushy_regrowth,1
2010,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.8634838140000001,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,brushy_regrowth,1
2013,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.955452602,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,brushy_regrowth,1
2014,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.9276474270000001,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,brushy_regrowth,1
2016,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.9182916789999999,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,brushy_regrowth,1
2017,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.9628121900000002,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,brushy_regrowth,1
2018,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.9477728179999999,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,brushy_regrowth,1
2020,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.924667413,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,brushy_regrowth,1
2025,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.947664324,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,brushy_regrowth,1
2026,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.407791279,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,brushy_regrowth,1
2026,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.543245175,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,brushy_regrowth,1
2026,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.022337384,1,NC,nc_99_Nippostrongylus,Microgale brevicaudata,Mandena,brushy_regrowth,1
2029,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.936753529,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,brushy_regrowth,1
2031,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.9506199220000001,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,brushy_regrowth,1
2032,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.948275861,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,brushy_regrowth,1
2033,nc_116,Heligmosomoidea,Heligmosomoidea,TRUE,Heligmosomoidea_1,0.4468507699999999,1,NC,nc_116_Heligmosomoidea_1,Microgale brevicaudata,Mandena,brushy_regrowth,1
2033,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.206573973,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,brushy_regrowth,1
2033,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.187287755,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,brushy_regrowth,1
2035,nc_116,Heligmosomoidea,Heligmosomoidea,TRUE,Heligmosomoidea_1,0.951598811,1,NC,nc_116_Heligmosomoidea_1,Microgale brevicaudata,Mandena,brushy_regrowth,1
2036,nc_116,Heligmosomoidea,Heligmosomoidea,TRUE,Heligmosomoidea_1,0.016129032,1,NC,nc_116_Heligmosomoidea_1,Microgale brevicaudata,Mandena,brushy_regrowth,1
