host_ID,host_species,site,village,grid,season
2006,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2007,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2010,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2011,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2013,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2014,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2015,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2016,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2017,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2018,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2019,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2020,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2021,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2023,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2024,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2025,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2026,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2027,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2028,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2029,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2030,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2031,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2032,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2033,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2034,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2035,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2036,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2037,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2038,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2039,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2040,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,1
2043,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,1
2045,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,1
2046,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,1
2047,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,1
2053,Rattus rattus,Mandena_agriculture,Mandena,agriculture,1
2054,Rattus rattus,Mandena_agriculture,Mandena,agriculture,1
2055,Rattus rattus,Mandena_agriculture,Mandena,agriculture,1
2057,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,1
2058,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,1
2059,Rattus rattus,Mandena_agriculture,Mandena,agriculture,1
2062,Rattus rattus,Mandena_agriculture,Mandena,agriculture,1
2063,Rattus rattus,Mandena_agriculture,Mandena,agriculture,1
2064,Rattus rattus,Mandena_agriculture,Mandena,agriculture,1
2065,Rattus rattus,Mandena_agriculture,Mandena,agriculture,1
2066,Rattus rattus,Mandena_agriculture,Mandena,agriculture,1
2067,Rattus rattus,Mandena_agriculture,Mandena,agriculture,1
2069,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,1
2077,Rattus rattus,Mandena_agriculture,Mandena,agriculture,1
2081,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,1
2082,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,1
2083,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,1
2087,Rattus rattus,Mandena_agriculture,Mandena,agriculture,1
2091,Rattus rattus,Mandena_agriculture,Mandena,agriculture,1
2092,Rattus rattus,Mandena_agriculture,Mandena,agriculture,1
2093,Rattus rattus,Mandena_agriculture,Mandena,agriculture,1
2095,Rattus rattus,Mandena_agriculture,Mandena,agriculture,1
2096,Rattus rattus,Mandena_agriculture,Mandena,agriculture,1
2100,Rattus rattus,Mandena_agriculture,Mandena,agriculture,1
2101,Rattus rattus,Mandena_agriculture,Mandena,agriculture,1
2102,Rattus rattus,Mandena_agriculture,Mandena,agriculture,1
2103,Rattus rattus,Mandena_village,Mandena,village,1
