host_ID,host_species,village,grid,Blastocystis,Entamoeba,Heligmosomoidea,Nippostrongylus,Trichostrongylidae,Hypotrichomonas,Tritrichomonas,Eimeria,Heligmonellidae,Hexamastix,Tetratrichomonas
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,1,1,1,1,0,0,0,0,0,0
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,1,0,0,0,0,0,0,0,0,0
2010,Rattus rattus,Mandena,brushy_regrowth,0,1,0,1,0,1,0,0,0,0,0
2011,Rattus rattus,Mandena,brushy_regrowth,1,1,0,0,0,1,1,0,0,0,0
2013,Rattus rattus,Mandena,brushy_regrowth,1,1,0,1,0,0,0,0,0,0,0
2014,Rattus rattus,Mandena,brushy_regrowth,1,0,0,1,0,0,0,0,0,0,0
2015,Rattus rattus,Mandena,brushy_regrowth,1,1,0,0,0,1,0,0,0,0,0
2016,Rattus rattus,Mandena,brushy_regrowth,1,1,0,1,0,0,0,0,0,0,0
2018,Rattus rattus,Mandena,brushy_regrowth,1,1,0,1,0,0,0,0,0,0,0
2019,Rattus rattus,Mandena,brushy_regrowth,1,1,0,0,0,0,1,0,0,0,0
2021,Microgale brevicaudata,Mandena,brushy_regrowth,1,1,0,0,0,0,0,1,0,0,0
2023,Rattus rattus,Mandena,brushy_regrowth,1,0,0,0,0,0,0,0,0,0,0
2024,Rattus rattus,Mandena,brushy_regrowth,0,1,0,0,0,0,1,0,0,0,0
2025,Rattus rattus,Mandena,brushy_regrowth,1,1,0,1,0,0,1,0,0,0,0
2026,Microgale brevicaudata,Mandena,brushy_regrowth,1,0,0,1,1,0,0,0,0,0,0
2027,Microgale brevicaudata,Mandena,brushy_regrowth,1,0,0,0,0,0,0,0,0,0,0
2028,Microgale brevicaudata,Mandena,brushy_regrowth,0,0,0,0,0,0,0,1,0,0,0
2029,Rattus rattus,Mandena,brushy_regrowth,1,1,0,1,0,0,1,0,0,0,0
2030,Rattus rattus,Mandena,brushy_regrowth,1,1,0,0,0,0,0,0,0,0,0
2031,Rattus rattus,Mandena,brushy_regrowth,1,0,0,1,0,0,1,0,0,0,0
2032,Rattus rattus,Mandena,brushy_regrowth,1,1,0,1,0,0,0,0,0,0,0
2033,Microgale brevicaudata,Mandena,brushy_regrowth,1,0,1,0,1,0,0,0,0,0,0
2034,Microgale brevicaudata,Mandena,brushy_regrowth,1,1,0,0,0,0,0,1,0,0,0
2035,Microgale brevicaudata,Mandena,brushy_regrowth,1,0,1,0,0,0,0,0,0,0,0
2036,Microgale brevicaudata,Mandena,brushy_regrowth,1,0,1,1,1,0,0,0,0,0,0
2037,Rattus rattus,Mandena,brushy_regrowth,0,0,0,1,0,0,1,0,0,0,0
2038,Rattus rattus,Mandena,brushy_regrowth,1,0,0,1,0,0,1,0,0,0,0
2039,Rattus rattus,Mandena,brushy_regrowth,1,1,1,1,0,0,0,0,1,0,0
2040,Rattus rattus,Mandena,brushy_regrowth,1,1,0,0,0,0,0,0,0,0,0
2045,Microgale brevicaudata,Mandena,agriculture,1,1,0,0,1,0,0,1,0,0,0
2046,Microgale brevicaudata,Mandena,agriculture,0,0,0,1,1,0,0,1,1,0,0
2047,Microgale brevicaudata,Mandena,agriculture,1,0,0,0,1,0,0,1,0,0,0
2053,Rattus rattus,Mandena,agriculture,1,1,0,1,0,0,0,0,0,0,0
2054,Rattus rattus,Mandena,agriculture,1,1,0,1,0,1,0,0,0,0,0
2057,Microgale brevicaudata,Mandena,agriculture,1,1,0,0,1,0,0,0,0,0,0
2058,Microgale brevicaudata,Mandena,agriculture,0,0,0,0,0,0,0,1,0,0,0
2059,Rattus rattus,Mandena,agriculture,1,1,0,1,0,0,0,0,0,0,0
2062,Rattus rattus,Mandena,agriculture,0,0,0,0,0,0,1,0,0,0,0
2064,Rattus rattus,Mandena,agriculture,0,0,0,1,0,0,1,0,0,0,0
2065,Rattus rattus,Mandena,agriculture,1,1,0,1,0,1,0,0,0,0,0
2066,Rattus rattus,Mandena,agriculture,0,0,0,1,0,0,1,0,0,0,0
2069,Microgale brevicaudata,Mandena,agriculture,0,0,0,0,1,0,0,1,0,0,0
2077,Rattus rattus,Mandena,agriculture,1,1,0,1,0,1,0,1,0,0,0
2081,Microgale brevicaudata,Mandena,agriculture,0,0,0,0,0,0,0,1,0,0,0
2082,Microgale brevicaudata,Mandena,agriculture,0,0,0,0,0,0,0,1,0,0,0
