host_ID,final_id,link,type,host_species,village,grid,season
2006,Blastocystis,1,Protozoa,Microgale brevicaudata,Mandena,brushy_regrowth,1
2006,Entamoeba,1,Protozoa,Microgale brevicaudata,Mandena,brushy_regrowth,1
2007,Blastocystis,1,Protozoa,Microgale brevicaudata,Mandena,brushy_regrowth,1
2007,Entamoeba,1,Protozoa,Microgale brevicaudata,Mandena,brushy_regrowth,1
2008,Eimeria,1,Protozoa,Setifer setosus,Mandena,brushy_regrowth,1
2009,Eimeria,1,Protozoa,Setifer setosus,Mandena,brushy_regrowth,1
2010,Entamoeba,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2010,Hypotrichomonas,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2011,Blastocystis,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2011,Entamoeba,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2011,Hypotrichomonas,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2011,Tritrichomonas,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2013,Blastocystis,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2013,Entamoeba,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2014,Blastocystis,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2015,Blastocystis,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2015,Entamoeba,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2015,Hypotrichomonas,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2016,Blastocystis,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2016,Entamoeba,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2018,Blastocystis,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2018,Entamoeba,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2019,Blastocystis,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2019,Entamoeba,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2019,Tritrichomonas,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2021,Blastocystis,1,Protozoa,Microgale brevicaudata,Mandena,brushy_regrowth,1
2021,Eimeria,1,Protozoa,Microgale brevicaudata,Mandena,brushy_regrowth,1
2021,Entamoeba,1,Protozoa,Microgale brevicaudata,Mandena,brushy_regrowth,1
2023,Blastocystis,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2024,Entamoeba,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2024,Tritrichomonas,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2025,Blastocystis,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2025,Entamoeba,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2025,Tritrichomonas,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2026,Blastocystis,1,Protozoa,Microgale brevicaudata,Mandena,brushy_regrowth,1
2027,Blastocystis,1,Protozoa,Microgale brevicaudata,Mandena,brushy_regrowth,1
2028,Eimeria,1,Protozoa,Microgale brevicaudata,Mandena,brushy_regrowth,1
2029,Blastocystis,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
2029,Entamoeba,1,Protozoa,Rattus rattus,Mandena,brushy_regrowth,1
