Sample_Name,buffer_test,reads_G4,reads_G6,Acanthocephala_G4,Ancylostoma_G4,Ascaridida_G4,Blastocystis_G4,Cryptosporidium_G4,Cyclophyllidea_G4,Echinostoma_paraensei_G4,Eimeria_G4,Eimeriorina_G4,Entamoeba_G4,Eucestoda_G4,Haemonchus_contortus_G4,Hepatozoon_G4,Hexamastix_G4,Hymenolepis_diminuta_G4,Hymenolepis_microstoma_G4,Hypotrichomonadidae_G4,Hypotrichomonas_G4,Microsporidia_G4,Moniliformis_moniliformis_G4,Neobalantidium_coli_G4,Nippostrongylus_brasiliensis_G4,Ostertagia_G4,Pentatrichomonas_hominis_G4,Rhabditida_G4,Simplicimonas_G4,Simplicimonas_similis_G4,Spirocerca_lupi_G4,Spirurida_G4,Streptopharagus_G4,Syphacia_G4,Tetratrichomonas_G4,Trichomitus_G4,Trichomitus_batrachorum_G4,Trichomonadea_G4,Trichuris_trichiura_G4,Tritrichomonas_G4,Ancylostoma_G6,Apicomplexa_G6,Ascaridida_G6,Blastocystis_G6,Cryptosporidium_G6,Cyclophyllidea_G6,Eimeria_G6,Entamoeba_G6,Hepatozoon_G6,Hymenolepis_diminuta_G6,Hymenolepis_microstoma_G6,Neobalantidium_coli_G6,Nippostrongylus_brasiliensis_G6,Rhabditida_G6,Sarcocystis_G6,Spirocerca_G6,Spirurida_G6,Strongyloides_G6,Strongyloides_ratti_G6,Syphacia_obvelata_G6
TMR-3552,,5475,1780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12037,0,0,0,0,0,0,0,0,0,0,0,0.05881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-3560,,5507,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-3571,,1689,6417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01539,0,0,0,0,0,0,0,0,0,0,0,0.55654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-3575,,4467,6092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2886,,2233,8222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2139,,4350,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-3068,,1781,3372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-3580,,10,6334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2135,,2888,2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2141,,1214,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2358,,5111,2572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2362,,3945,7008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2376,,3644,4402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62486,0,0,0,0,0,0,0.03839,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2379,,2768,2669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2380,,2843,1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2384,,3111,4626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2657,,6137,5556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2679,,5804,7554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2680,,5031,6105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2686,,2651,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
